word,definition
gallium,a rare silvery (usually trivalent) metallic element; brittle at low temperatures but liquid above room temperature; occurs in trace amounts in bauxite and zinc ores
gallous,alternative terms for gallows
gallows,an instrument of execution consisting of a wooden frame from which a condemned person is executed by hanging
galumph,move around heavily and clumsily
galways,a port city in western Ireland on Galway Bay
gambist,a musician who performs upon the viola da gamba
gambler,a person who wagers money on the outcome of games or sporting events
gamboge,a gum resin used as a yellow pigment and a purgative
gambrel,a gable roof with two slopes on each side and the lower slope being steeper
gamebag,a canvas or leather bag for carrying game (especially birds) killed by a hunter
gangdom,underworld organizations
ganging,act as an organized group
ganglia,an encapsulated neural structure consisting of a collection of cell bodies or neurons
gangway,a temporary passageway of planks (as over mud on a building site)
gantlet,to offer or accept a challenge
garbage,food that is discarded (as from a kitchen)
garboil,a state of commotion and noise and confusion
gardant,looking forward
garfish,primitive predaceous North American fish covered with hard scales and having long jaws with needlelike teeth
garland,United States singer and film actress (1922-1969)
garment,an article of clothing
garnets,any of a group of hard glassy minerals (silicates of various metals) used as gemstones and as an abrasive
garnish,something (such as parsley) added to a dish for flavor or decoration
garrote,an instrument of execution for execution by strangulation
gaseous,existing as or having characteristics of a gas
gaskins,lower part of a horse's thigh between the hock and the stifle
gasping,"breathe noisily, as when one is exhausted"
gassing,the process of interacting with gas
gastric,relating to or involving the stomach
gastrin,polypeptide hormone secreted by the mucous lining of the stomach; when peptides and amino acids are present in the small intestine the secretion of gastric acid is stimulated
gateway,an entrance that can be closed by a gate
gaudery,cheap or pretentious or vain display
gaudily,in a tastelessly garish manner
gauffer,an iron used to press pleats and ridges
gauging,judge tentatively or form an estimate of (quantities or time)
gauntry,a framework of steel bars raised on side supports to bridge over or around something; can display railway signals above several tracks or can support a traveling crane etc.
gavotte,an old formal French dance in quadruple time
gayness,a sexual attraction to (or sexual relations with) persons of the same sex
gazania,any plant of the genus Gazania valued for their showy daisy flowers
gazella,typical gazelles
gazelle,small swift graceful antelope of Africa and Asia having lustrous eyes
gazette,a newspaper or official journal
gearbox,the shell (metal casing) in which a train of gears is sealed
gearing,wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed
gearset,a set of gears
geebung,any of numerous shrubs and small trees having hard narrow leaves and long-lasting yellow or white flowers followed by small edible but insipid fruits
gehenna,a place where the wicked are punished after death
gelatin,a colorless water-soluble glutinous protein obtained from animal tissues such as bone and skin
gelding,castrated male horse
gemmule,the physically discrete element that Darwin proposed as responsible for heredity
gemsbok,large South African oryx with a broad black band along its flanks
general,a general officer of the highest rank
generic,a wine that is a blend of several varieties of grapes with no one grape predominating; a wine that does not carry the name of any specific grape
genesis,a coming into being
genetic,occurring among members of a family usually by heredity
genetta,genets
genevan,a native or resident of Geneva
genipap,a succulent orange-sized tropical fruit with a thick rind
genista,chiefly deciduous shrubs or small trees of Mediterranean area and western Asia: broom
genital,of or relating to the external sex organs
genitor,a natural father or mother
genoese,a native or resident of Genoa
genteel,marked by refinement in taste and manners
gentian,any of various plants of the family Gentianaceae especially the genera Gentiana and Gentianella and Gentianopsis
gentile,a person who does not acknowledge your god
genuine,not fake or counterfeit
geodesy,the branch of geology that studies the shape of the earth and the determination of the exact position of geographical points
geoduck,a large edible clam found burrowing deeply in sandy mud along the Pacific coast of North America; weighs up to six pounds; has siphons that can extend to several feet and cannot be withdrawn into the shell
geology,a science that deals with the history of the earth as recorded in rocks
geordie,a native of Newcastle-upon-Tyne
georgia,a state in southeastern United States; one of the Confederate states during the American Civil War
gerbera,genus of South African or Asiatic herbs: African daisies
gerenuk,slender East African antelope with slim neck and backward-curving horns
germane,relevant and appropriate
gestalt,a configuration or pattern of elements so unified as a whole that it cannot be described merely as a sum of its parts
