word,definition
honor,a tangible symbol signifying approval or distinction
hooch,an illicitly distilled (and usually inferior) alcoholic liquor
hooey,senseless talk
hoofs,the foot of an ungulate mammal
hooky,failure to attend (especially school)
hoped,expect and wish
hoper,a person who hopes
horde,a vast multitude
horny,feeling great sexual desire
horse,solid-hoofed herbivorous quadruped domesticated since prehistoric times
horst,a ridge of the earth's crust that has been forced upward between two faults and so is higher than the surrounding land
hosed,water with a hose
hosta,robust east Asian clump-forming perennial herbs having racemose flowers: plantain lilies; sometimes placed in family Hostaceae
hotel,a building where travelers can pay for lodging and meals and other services
hotly,in a heated manner
hound,any of several breeds of dog used for hunting typically having large drooping ears
houri,a voluptuously beautiful young woman
house,a dwelling that serves as living quarters for one or more families
hovel,small crude shelter used as a dwelling
hover,be undecided about something; waver between conflicting positions or courses of action
howdy,an expression of greeting
hoyle,an English astrophysicist and advocate of the steady state theory of cosmology; described processes of nucleosynthesis inside stars (1915-2001)
hubby,a married man; a woman's partner in marriage
huffy,quick to take offense
hulky,of great size and bulk
human,"any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage"
humic,of or relating to or derived from humus
humid,containing or characterized by a great deal of water vapor
humin,a black humic substance that is not soluble in water
humor,a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter
humus,partially decomposed organic matter; the organic component of soil
hunch,an impression that something might be the case
hunks,a well-built sexually attractive man
huron,the 2nd largest of the Great Lakes
hurry,a condition of urgency making it necessary to hurry
husky,breed of heavy-coated Arctic sled dog
hussy,a woman adulterer
hutch,a cage (usually made of wood and wire mesh) for small animals
hydra,(Greek mythology) monster with nine heads; when struck off each head was replaced by two new ones
hyena,doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion
hymen,(Greek mythology) the god of marriage
hyoid,a U-shaped bone at the base of the tongue that supports the tongue muscles
hypha,any of the threadlike filaments forming the mycelium of a fungus
hyrax,any of several small ungulate mammals of Africa and Asia with rodent-like incisors and feet with hooflike toes
hyson,a Chinese green tea with twisted leaves
iambi,a metrical unit with unstressed-stressed syllables
icaco,small tropical American tree bearing edible plumlike fruit
ichor,(Greek mythology) the rarified fluid said to flow in the veins of the Gods
icily,in a cold and icy manner
icing,the formation of frost or ice on a surface
ictic,of or relating to a seizure or convulsion
ictus,a sudden occurrence (or recurrence) of a disease
idaho,a state in the Rocky Mountains
ideal,the idea of something that is perfect; something that one hopes to attain
idiom,a manner of speaking that is natural to native speakers of a language
idiot,a person of subnormal intelligence
idler,person who does no work
igloo,an Eskimo hut; usually built of blocks (of sod or snow) in the shape of a dome
ileum,the part of the small intestine between the jejunum and the cecum
ileus,blockage of the intestine (especially the ileum) that prevents the contents of the intestine from passing to the lower bowel
iliac,of or relating to the ilium
iliad,a Greek epic poem (attributed to Homer) describing the siege of Troy
ilium,an ancient city in Asia Minor that was the site of the Trojan War
image,an iconic mental representation
imago,(psychoanalysis) an idealized image of someone (usually a parent) formed in childhood
imbed,fix or set securely or deeply
imbue,spread or diffuse through
imide,any of a class of organic compounds that contain the divalent radical -CONHCO-
immix,mix together different elements
impel,urge or force (a person) to an action; constrain or motivate
imply,express or state indirectly
inane,devoid of intelligence
inapt,not elegant or graceful in expression
incan,a member of the Quechuan people living in the Cuzco valley in Peru
incur,make oneself subject to; bring upon oneself; become liable to
incus,the ossicle between the malleus and the stapes
index,a numerical scale used to compare variables with one another or with some reference number
india,a republic in the Asian subcontinent in southern Asia; second most populous country in the world; achieved independence from the United Kingdom in 1947
indic,a branch of the Indo-Iranian family of languages
indra,chief Hindu god of the Rig-Veda; god of rain and thunder
indri,large short-tailed lemur of Madagascar having thick silky fur in black and white and fawn
indue,give qualities or abilities to
indus,a faint constellation in the southern hemisphere near Telescopium and Tucana
inept,not elegant or graceful in expression
inert,unable to move or resist motion
infer,reason by deduction; establish by deduction
infix,an affix that is inserted inside the word
infra,(in writing) see below
