word,definition
foment,try to stir up public opinion
fondle,touch or stroke lightly in a loving or endearing manner
fondly,with fondness; with love
fondue,cubes of meat or seafood cooked in hot oil and then dipped in any of various sauces
footed,pay for something
footer,(used only in combinations) the height or length of something in feet
footle,be about
forage,bulky food like grass or hay for browsing or grazing horses or cattle
forbid,command against
forced,"to cause to do through pressure or necessity, by physical, moral or intellectual means :"
forego,be earlier in time; go back further
forest,the trees and other plants in a large densely wooded area
forged,create by hammering
forger,someone who operates a forge
forget,dismiss from the mind; stop remembering
forgot,dismiss from the mind; stop remembering
forint,the basic unit of money in Hungary
forked,lift with a pitchfork
formal,a lavish dance requiring formal attire
format,the organization of information according to preset specifications (usually for computer processing)
formed,create (as an entity)
former,the first of two or the first mentioned of two
formic,of or relating to or derived from ants
formol,a 10% solution of formaldehyde in water; used as a disinfectant or to preserve biological specimens
fornax,a faint constellation in the southern hemisphere near Cetus and Phoenix
fornix,generally any arch shaped structure (but often it refers to the arched roof of an anatomical space)
forrad,at or to or toward the front; ; ; ; (`forrad' and `forrard' are dialectal variations)
fossil,someone whose style is out of fashion
foster,United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
fought,be engaged in a fight; carry on a fight
fouler,highly offensive; arousing aversion or disgust
foully,in an unfair and insulting manner
fourer,being one more than three
fourth,following the third position; number four in a countable series
fowler,English lexicographer who wrote a well-known book on English usage (1858-1933)
foxily,in an artful manner
foxing,deceive somebody
fracas,noisy quarrel
fraise,a ruff for the neck worn in the 16th century
framed,enclose in or as if in a frame
framer,someone who makes frames (as for pictures)
franco,Spanish general whose armies took control of Spain in 1939 and who ruled as a dictator until his death (1892-1975)
frappe,liqueur poured over shaved ice
frayed,wear away by rubbing
frazer,English social anthropologist noted for studies of primitive religion and magic (1854-1941)
freaky,strange and somewhat frightening
freely,in a free manner
freeze,the withdrawal of heat to change something from a liquid to a solid
french,the Romance language spoken in France and in countries colonized by France
frenzy,state of violent mental agitation
fresco,a mural done with watercolors on wet plaster
fresno,a city in south central California in the San Joaquin Valley; center of an important agricultural area and gateway to the Sierra Nevada Mountains
freyja,(Norse mythology) goddess of love and fecundity; daughter of Njorth and sister of Frey
friary,a monastery of friars
friday,the sixth day of the week; the fifth working day
friend,a person you know well and regard with affection and trust
frieze,an architectural ornament consisting of a horizontal sculptured band between the architrave and the cornice
fright,an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
frigid,sexually unresponsive
frijol,the common bean plant grown for the beans rather than the pods (especially a variety with large red kidney-shaped beans)
frilly,having decorative ruffles or frills
fringe,the outside boundary or surface of something
fringy,at or constituting a border or edge
frisky,playful like a lively kitten
frivol,act frivolously
frizzy,(of hair) in small tight curls
frolic,gay or light-hearted recreational activity for diversion or amusement
frosty,devoid of warmth and cordiality; expressive of unfriendliness or disdain
frothy,emitting or filled with bubbles as from carbonation or fermentation
frowzy,negligent of neatness especially in dress and person; habitually dirty and unkempt
frozen,stop moving or become immobilized
frugal,avoiding waste
fruity,tasting or smelling richly of or as of fruit
frumpy,primly out of date
fucoid,a fossilized cast or impression of algae of the order Fucales
fuddle,a confused multitude of things
fulgid,having brief brilliant points or flashes of light
fulica,coots
fuller,United States jurist and chief justice of the United States Supreme Court (1833-1910)
fulmar,heavy short-tailed oceanic bird of polar regions
fumble,(sports) dropping the ball
fuming,"be mad, angry, or furious"
funded,convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds
fundus,(anatomy) the base of a hollow organ or that part of the organ farthest from its opening
fungal,of or relating to fungi
fungia,a genus comprising the usual mushroom corals
fungus,an organism of the kingdom Fungi lacking chlorophyll and feeding on organic matter; ranging from unicellular or multicellular organisms to spore-bearing syncytia
funnel,a conical shape with a wider and a narrower opening at the two ends
furies,a feeling of intense anger
furore,an interest followed with exaggerated zeal
furred,covered with a dense coat of fine silky hairs
furrow,a long shallow trench in the ground (especially one made by a plow)
